cover_img,authors,publication_year,title,rating
book_covers/37.png,James Patterson,2015,Cross Justice,4.22
book_covers/38.png,"James Patterson, Mark T. Sullivan",2012,Private Games ,3.83
book_covers/39.png,James Patterson,2011,"Merry Christmas, Alex Cross",3.85
book_covers/40.png,James Patterson,2013,Cross My Heart,4.03
book_covers/41.png,"James Patterson, Maxine Paetro",2016,15th Affair,4.04
book_covers/42.png,"James Patterson, Howard Roughan",2013,Second Honeymoon,3.89
book_covers/43.png,"James Patterson, Marshall Karp",2014,NYPD Red 2,4.07
book_covers/44.png,"James Patterson, David Ellis",2013,Mistress,3.52
book_covers/45.png,"James Patterson, Marshall Karp",2015,NYPD Red 3,4.03
book_covers/46.png,"James Patterson, Michael Ledwidge",2013,Gone,4.01
book_covers/47.png,"James Patterson, Emily Raymond",2013,First Love,3.76
book_covers/48.png,"James Patterson, Richard DiLallo",2011,The Christmas Wedding,3.32
book_covers/49.png,"James Patterson, Mark Pearson",2011,Private London,3.75
book_covers/50.png,"James Patterson, Michael Ledwidge",2007,The Dangerous Days of Daniel X,3.57
book_covers/51.png,"James Patterson, Michael Ledwidge",2015,Alert,3.93
book_covers/52.png,"James Patterson, Howard Roughan",2010,Don't Blink,3.79
book_covers/53.png,"James Patterson, Mark T. Sullivan",2013,Private Berlin,3.9
book_covers/54.png,"James Patterson, Michael Ledwidge",2014,Burn,3.88
book_covers/55.png,Stephen King,1977,The Shining,4.17
book_covers/56.png,"Stephen King, Bernie Wrightson",1978,The Stand,4.34
book_covers/57.png,Stephen King,1986,It,4.18
book_covers/58.png,Stephen King,1982,The Gunslinger,3.99
book_covers/59.png,Stephen King,1987,Misery,4.11
book_covers/60.png,Stephen King,2011,11/22/63,4.29
book_covers/61.png,Stephen King,1983,Pet Sematary,3.91
book_covers/62.png,Stephen King,1975,Salem's Lot,3.99
book_covers/63.png,Stephen King,2009,Under the Dome,3.89
book_covers/64.png,Stephen King,1996,The Green Mile,4.42
book_covers/65.png,Stephen King,1991,Needful Things,3.87
book_covers/66.png,Stephen King,1981,Cujo,3.65
book_covers/67.png,"Stephen King, Marie Milpois",1983,Christine,3.72
book_covers/68.png,Stephen King,1987,The Drawing of the Three,4.23
book_covers/69.png,Stephen King,2014,Mr. Mercedes,3.92
book_covers/70.png,Stephen King,1979,The Dead Zone,3.9
book_covers/71.png,Stephen King,1980,Firestarter,3.85
book_covers/72.png,Stephen King,1999,On Writing: A Memoir of the Craft,4.31
book_covers/73.png,Stephen King,1998,Bag of Bones,3.87
book_covers/74.png,"Richard Bachman, Stephen King",1984,Thinner,3.66
book_covers/75.png,Stephen King,1982,Different Seasons,4.34
book_covers/76.png,Stephen King,2013,Doctor Sleep,4.1
book_covers/77.png,"Stephen King, Dave McKean",1997,Wizard and Glass,4.24
book_covers/78.png,"Stephen King, John D. MacDonald",1978,Night Shift,3.96
book_covers/79.png,Stephen King,1992,Gerald's Game,3.47
book_covers/80.png,"Stephen King, Bettina Blanch Tyroller",1994,Insomnia,3.79
book_covers/81.png,"Stephen King, Bernie Wrightson",2003,Wolves of the Calla,4.17
book_covers/82.png,Stephen King,1996,Desperation,3.8
book_covers/83.png,Stephen King,2004,The Dark Tower,4.27
book_covers/84.png,Stephen King,1989,The Dark Half,3.74
book_covers/85.png,"Stephen King, Darrel Anderson",2004,Song of Susannah,3.98
book_covers/86.png,"Stephen King, Dominique Dill",1992,Dolores Claiborne,3.81
book_covers/87.png,Stephen King,1985,Skeleton Crew,3.93
book_covers/88.png,Stephen King,1987,The Tommyknockers,3.48
book_covers/89.png,Stephen King,2013,Joyland,3.9
book_covers/90.png,Stephen King,1990,Four Past Midnight,3.9
book_covers/91.png,"Stephen King, Peter Straub",1984,The Talisman,4.12
book_covers/92.png,Stephen King,1987,Eyes of the Dragon,3.92
book_covers/93.png,"Richard Bachman, Stephen King",1979,The Long Walk,4.11
book_covers/94.png,"Stephen King, Jerry N. Uelsmann",2005,'Salem's Lot The Illustrated Edition,4.25
book_covers/95.png,Stephen King,1980,The Mist,3.92
book_covers/96.png,Stephen King,2014,Revival,3.75
book_covers/97.png,Stephen King,2008,Duma Key,3.93
book_covers/98.png,Stephen King,1995,Rose Madder,3.66
book_covers/99.png,Stephen King,2015,Finders Keepers,4.03
book_covers/100.png,Stephen King,1999,Hearts in Atlantis,3.8
book_covers/101.png,Stephen King,2010,"Full Dark, No Stars",4.03
book_covers/102.png,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",2007,The Dark Tower: The Gunslinger Born,4.18
book_covers/103.png,"Richard Bachman, Stephen King",1982,The Running Man,3.8
book_covers/104.png,Stephen King,1993,Nightmares & Dreamscapes ,3.9
book_covers/105.png,"Richard Bachman, Stephen King",1985,The Bachman Books,4.1
book_covers/106.png,Stephen King,2006,Lisey's Story,3.65
book_covers/107.png,Stephen King,2002,From a Buick 8,3.42
book_covers/108.png,"Richard Bachman, Stephen King",1996,The Regulators,3.63
book_covers/109.png,"Stephen King, Jae Lee",2012,The Wind Through the Keyhole,4.14
book_covers/110.png,Stephen King,2016,End of Watch,4.09
book_covers/111.png,"Neil Gaiman, Mike Allred, Gary Amaro, Mark Buckingham, David Giordano, Tony Harris, Steve Leialoha, Vince Locke, Shea Anton Pensa, Alec Stevens, Bryan Talbot, John Watkiss, Todd Klein, Michael Zulli, Stephen King",1995,The Sandman: Worlds' End,4.48
book_covers/112.png,"Stephen King, Bernie Wrightson, Michele Wrightson",1982,Creepshow,4.06
book_covers/113.png,Stephen King,2015,The Bazaar of Bad Dreams,3.92
book_covers/114.png,"Stephen King, Willem Dafoe",1989,Four Past Midnight,3.82
book_covers/115.png,"Stephen King, Robin A.H. Waterfield",1982,Different Seasons,4.26
book_covers/116.png,Stephen King,2011,Mile 81,3.62
book_covers/117.png,"Richard Bachman, Stephen King",1977,Rage,3.8
book_covers/118.png,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",2007,The Improbable Adventures of Sherlock Holmes,4.37
book_covers/119.png,Stephen King,2005,The Colorado Kid,3.28
book_covers/120.png,Stephen King,1981,Danse Macabre,3.62
book_covers/121.png,"Scott Snyder, Stephen King, Rafael Albuquerque",2010,"American Vampire, Volume 1",3.98
book_covers/122.png,"Stephen King, Michael Whelan",2008,The Little Sisters of Eluria,4.24
book_covers/123.png,"Marc Guggenheim, Alex Maleev, Stephen King",2008,Stephen King's N.,4.22
book_covers/124.png,Stephen King,2009,UR,3.65
book_covers/125.png,Stephen King,1982,The Shawshank Redemption,4.52
book_covers/126.png,Stephen King,1983,Three Complete Novels: Carrie/Salem's Lot/The Shining,4.52
book_covers/127.png,Nora Roberts,2009,Vision in White,4.1
book_covers/128.png,"Nora Roberts, MacLeod Andrews",2011,The Next Always,4.11
book_covers/129.png,Nora Roberts,2001,Dance Upon The Air,4.19
book_covers/130.png,Nora Roberts,1999,Jewels of the Sun,4.22
book_covers/131.png,Nora Roberts,2003,"Key of Light (Key Trilogy, #1)",4.16
book_covers/132.png,Nora Roberts,2012,The Witness,4.19
book_covers/133.png,Nora Roberts,2006,Morrigan's Cross,4.14
book_covers/134.png,Nora Roberts,2013,Dark Witch,3.91
book_covers/135.png,Nora Roberts,2009,Bed of Roses,4.11
book_covers/136.png,Nora Roberts,1996,Montana Sky,4.07
book_covers/137.png,Nora Roberts,2010,The Search,4.11
book_covers/138.png,"Nora Roberts, Angela Dawe",2010,Savor the Moment,4.13
book_covers/139.png,Nora Roberts,2004,Northern Lights,3.98
book_covers/140.png,"Nora Roberts, MacLeod Andrews",2012,The Last Boyfriend,4.06
book_covers/141.png,Nora Roberts,2016,The Obsession,4.18
book_covers/142.png,Nora Roberts,2005,Black Rose,4.03
book_covers/143.png,Nora Roberts,2001,"Heaven and Earth (Three Sisters Island, #2)",4.13
book_covers/144.png,Nora Roberts,2002,"Face the Fire (Three Sisters Island, #3)",4.15
book_covers/145.png,Nora Roberts,2009,Black Hills,4.08
book_covers/146.png,Nora Roberts,2011,Chasing Fire,4.09
book_covers/147.png,Nora Roberts,2005,Red Lily,4.07
book_covers/148.png,Nora Roberts,2012,The Perfect Hope,4.14
book_covers/149.png,Nora Roberts,2013,Whiskey Beach,3.96
book_covers/150.png,Nora Roberts,2014,The Liar,3.95
book_covers/151.png,Nora Roberts,2003,Key of Knowledge,4.09
book_covers/152.png,Nora Roberts,2001,Midnight Bayou,3.96
book_covers/153.png,Nora Roberts,1995,Born in Ice,4.13
book_covers/154.png,Nora Roberts,2014,Shadow Spell,4.0
book_covers/155.png,Nora Roberts,2005,Blue Smoke,3.97
book_covers/156.png,Nora Roberts,2014,The Collector,3.92
book_covers/157.png,Nora Roberts,1998,Inner Harbor (Chesapeake Bay Saga #3),4.16
book_covers/158.png,Nora Roberts,2002,"Chesapeake Blue (Chesapeake Bay Saga, #4)",4.17
book_covers/159.png,Nora Roberts,2014,Blood Magick,4.06
book_covers/160.png,Nora Roberts,2006,Valley of Silence,4.2
book_covers/161.png,Nora Roberts,2001,The Villa,3.94
book_covers/162.png,Nora Roberts,1996,Daring to Dream,4.01
book_covers/163.png,"J.D. Robb, Nora Roberts",2000,Judgment in Death,4.33
book_covers/164.png,Nora Roberts,2003,Birthright,3.99
book_covers/165.png,"J.D. Robb, Nora Roberts",2001,Betrayal in Death,4.31
book_covers/166.png,Nora Roberts,2015,Stars of Fortune,4.0
book_covers/167.png,Nora Roberts,2002,Three Fates,4.03
book_covers/168.png,Nora Roberts,1994,Hidden Riches,3.97
book_covers/169.png,Nora Roberts,1997,Sanctuary,3.87
book_covers/170.png,Nora Roberts,1998,The Reef,3.89
book_covers/171.png,Nora Roberts,2016,Bay of Sighs,4.15
book_covers/172.png,Dean Koontz,1987,Watchers,4.16
book_covers/173.png,Dean Koontz,1987,Intensity,4.04
book_covers/174.png,Dean Koontz,1988,Lightning,4.06
book_covers/175.png,Dean Koontz,1986,Strangers,3.98
book_covers/176.png,Dean Koontz,1998,Fear Nothing ,3.99
book_covers/177.png,"Dean Koontz, Kevin J. Anderson, Chuck Dixon, Brett Booth",2008,Dean Koontz's Frankenstein: Prodigal Son Volume 1 (Frankenstein),4.09
book_covers/178.png,Dean Koontz,1996,Ticktock,3.71
book_covers/179.png,Dean Koontz,2004,Life Expectancy,3.98
book_covers/180.png,"Dean Koontz, Keith Szarabajka",1998,Seize the Night,4.07
book_covers/181.png,Dean Koontz,1976,Night Chills,3.86
book_covers/182.png,Dean Koontz,1989,Midnight,3.81
book_covers/183.png,Dean Koontz,2013,Innocence,3.69
book_covers/184.png,"Dean Koontz, Leigh Nichols",2000,Cold Fire ; Hideaway; The Key to Midnight,4.16
book_covers/185.png,Dean Koontz,2003,The Face,3.69
book_covers/186.png,"Dean Koontz, Ed Gorman, John Bedford Lloyd",2005,Dean Koontz's Frankenstein: City of Night ,3.97
book_covers/187.png,Dean Koontz,1993,Dragon Tears,3.72
book_covers/188.png,Dean Koontz,2001,One Door Away from Heaven,3.95
book_covers/189.png,Dean Koontz,1984,Darkfall,3.8
book_covers/190.png,"Leigh Nichols, Dean Koontz",1984,Twilight,3.81
book_covers/191.png,"Leigh Nichols, Dean Koontz",1981,The Eyes of Darkness,3.85
book_covers/192.png,Dean Koontz,2010,What the Night Knows,3.74
book_covers/193.png,Dean Koontz,2015,Saint Odd,4.12
book_covers/194.png,Dean Koontz,2009,Relentless,3.71
book_covers/195.png,Dean Koontz,2008,Your Heart Belongs to Me,3.34
book_covers/196.png,"Brian Coffey, Dean Koontz",1980,The Voice of the Night ,3.91
book_covers/197.png,Dean Koontz,2015,Ashley Bell,3.59
book_covers/198.png,Dean Koontz,1977,The Vision,3.79
book_covers/199.png,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
book_covers/200.png,Terry Pratchett,1983,The Colour of Magic,3.97
book_covers/201.png,Terry Pratchett,1989,Guards! Guards!,4.32
book_covers/202.png,Terry Pratchett,1987,Equal Rites,4.0
book_covers/203.png,Terry Pratchett,2002,Night Watch,4.47
book_covers/204.png,Terry Pratchett,2003,The Wee Free Men,4.25
book_covers/205.png,Terry Pratchett,1988,Wyrd Sisters,4.11
book_covers/206.png,Terry Pratchett,1991,Reaper Man,4.27
book_covers/207.png,Terry Pratchett,1996,Hogfather,4.22
book_covers/208.png,Terry Pratchett,1996,Feet of Clay,4.26
book_covers/209.png,Terry Pratchett,1992,Lords and Ladies,4.14
book_covers/210.png,Terry Pratchett,2006,Thud!,4.29
book_covers/211.png,Terry Pratchett,1991,Witches Abroad,4.2
book_covers/212.png,Terry Pratchett,2003,Monstrous Regiment,4.18
book_covers/213.png,Terry Pratchett,2004,A Hat Full of Sky,4.29
book_covers/214.png,Terry Pratchett,1990,Moving Pictures,3.91
book_covers/215.png,Terry Pratchett,1999,The Fifth Elephant,4.24
book_covers/216.png,"Terry Pratchett, Stephen Baxter",2012,The Long Earth,3.74
book_covers/217.png,Terry Pratchett,1990,Eric,3.72
book_covers/218.png,Terry Pratchett,1997,Jingo,4.11
book_covers/219.png,"Terry Pratchett, Stephen Briggs",1996,Mort - playtext,4.29
book_covers/220.png,Terry Pratchett,1998,The Last Continent,3.99
book_covers/221.png,Terry Pratchett,2011,Snuff,4.15
book_covers/222.png,Terry Pratchett,2006,Wintersmith,4.22
book_covers/223.png,Terry Pratchett,2010,I Shall Wear Midnight,4.35
book_covers/224.png,Terry Pratchett,1994,Interesting Times,4.17
book_covers/225.png,Terry Pratchett,2008,Nation,4.05
book_covers/226.png,Terry Pratchett,2013,Raising Steam,3.93
book_covers/227.png,"Stephen Briggs, Terry Pratchett",1995,Interesting Times,4.1
book_covers/228.png,Terry Pratchett,2012,Dodger,3.9
book_covers/229.png,"Terry Pratchett, Stephen Baxter",2013,The Long War,3.58
book_covers/230.png,Terry Pratchett,2015,The Shepherd's Crown,4.34
book_covers/231.png,Agatha Christie,1939,Ten Little Niggers,4.23
book_covers/232.png,Agatha Christie,1924,The Man in the Brown Suit,3.97
book_covers/233.png,Agatha Christie,1937,Death on the Nile,4.06
book_covers/234.png,Agatha Christie,1924,Poirot Investigates,4.07
book_covers/235.png,Agatha Christie,1922,The Secret Adversary,3.82
book_covers/236.png,Agatha Christie,1942,Five Little Pigs,3.95
book_covers/237.png,Agatha Christie,1936,Murder in Mesopotamia,3.86
book_covers/238.png,Agatha Christie,1938,Appointment with Death,3.84
book_covers/239.png,Agatha Christie,1938,Hercule Poirot's Christmas,3.9
book_covers/240.png,Agatha Christie,1927,The Big Four,3.6
book_covers/241.png,Agatha Christie,1932,Peril at End House,3.89
book_covers/242.png,Agatha Christie,1923,The Murder on the Links,3.8
book_covers/243.png,Agatha Christie,1962,The Mirror Crack'd from Side to Side,3.89
book_covers/244.png,Agatha Christie,1935,Death in the Clouds,3.78
book_covers/245.png,Agatha Christie,1959,Cat Among the Pigeons,3.82
book_covers/246.png,Agatha Christie,1933,Lord Edgware Dies,3.88
book_covers/247.png,Agatha Christie,1976,Sleeping Murder,3.91
book_covers/248.png,Agatha Christie,1972,Elephants Can Remember,3.62
book_covers/249.png,Agatha Christie,1969,Hallowe'en Party,3.66
book_covers/250.png,"Mary Westmacott, Agatha Christie",1944,Absent in the Spring ,4.14
book_covers/251.png,Agatha Christie,1953,After the Funeral ,3.84
book_covers/252.png,Agatha Christie,1942,The Moving Finger,3.84
book_covers/253.png,Agatha Christie,1965,At Bertram's Hotel,3.7
book_covers/254.png,Agatha Christie,1964,A Caribbean Mystery,3.77
book_covers/255.png,Agatha Christie,1940,Sad Cypress,3.83
book_covers/256.png,"Agatha Christie, Hugh Fraser",1940,"One, Two, Buckle My Shoe",3.74
book_covers/257.png,"Agatha Christie, Robin Bailey",1963,The Clocks,3.71
book_covers/258.png,Neil Gaiman,2001,American Gods,4.11
book_covers/259.png,Neil Gaiman,2013,The Ocean at the End of the Lane,3.99
book_covers/260.png,Neil Gaiman,2002,Coraline,4.03
book_covers/261.png,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
book_covers/262.png,"Neil Gaiman, Dave McKean",2008,The Graveyard Book,4.12
book_covers/263.png,Neil Gaiman,1996,Neverwhere,4.18
book_covers/264.png,Neil Gaiman,1999,Stardust,4.07
book_covers/265.png,Neil Gaiman,2005,Anansi Boys,4.0
book_covers/266.png,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",1989,Preludes & Nocturnes,4.3
book_covers/267.png,"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",1991,The Sandman: Dream Country,4.28
book_covers/268.png,"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",1990,The Doll's House,4.44
book_covers/269.png,"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",2015,The Sandman: Overture,3.94
book_covers/270.png,Neil Gaiman,1998,Smoke and Mirrors: Short Fiction and Illusions,4.05
book_covers/271.png,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",1990,The Sandman: Season of Mists,4.54
book_covers/272.png,"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",1993,The Sandman: A Game of You,4.43
book_covers/273.png,"Neil Gaiman, Chris Bachalo, Mark Buckingham, Tori Amos",1993,Death: the High Cost of Living,4.21
book_covers/274.png,"Neil Gaiman, Jill Thompson, Vince Locke, Peter Straub",1994,The Sandman: Brief Lives,4.55
book_covers/275.png,"Neil Gaiman, Bryan Talbot, Stan Woch, P. Craig Russell, Shawn McManus, John Watkiss, Jill Thompson, Duncan Eagleson, Kent Williams, Todd Klein",1990,The Sandman: Fables and Reflections,4.45
book_covers/276.png,Neil Gaiman,2015,Trigger Warning: Short Fictions and Disturbances,3.92
book_covers/277.png,"Alfred Bester, Neil Gaiman",1955,The Stars My Destination,4.13
book_covers/278.png,"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",1996,The Sandman: The Kindly Ones,4.59
book_covers/279.png,"Neil Gaiman, Mike Allred, Gary Amaro, Mark Buckingham, David Giordano, Tony Harris, Steve Leialoha, Vince Locke, Shea Anton Pensa, Alec Stevens, Bryan Talbot, John Watkiss, Todd Klein, Michael Zulli, Stephen King",1995,The Sandman: Worlds' End,4.48
book_covers/280.png,"Neil Gaiman, Skottie Young",2013,"Fortunately, the Milk",4.04
book_covers/281.png,"Mike Carey, Glenn Fabry, Neil Gaiman",1996,Neverwhere Graphic Novel,4.21
book_covers/282.png,"Neil Gaiman, Michael Zulli, Jon J. Muth, Charles Vess, Mikal Gilmore",1996,The Sandman: The Wake,4.53
book_covers/283.png,"Neil Gaiman, Chris Riddell",2014,The Sleeper and the Spindle,3.9
book_covers/284.png,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",2007,The Improbable Adventures of Sherlock Holmes,4.37
book_covers/285.png,Neil Gaiman,1987,Don't Panic: The Official Hitchhikers Guide to the Galaxy Companion,4.31
book_covers/286.png,Neil Gaiman,2017,Norse Mythology,4.12
book_covers/287.png,"Neil Gaiman, Barron Storey, Bill Sienkiewicz, Glenn Fabry, Dave McKean, P. Craig Russell, Milo Manara, Miguelanxo Prado, Frank Quitely, Todd Klein",2003,The Sandman: Endless Nights,4.34
book_covers/288.png,"Neil Gaiman, Andy Kubert, Matt Wagner, Simon Bisley, Bernie Mireault, Mark Buckingham",2009,Batman: Whatever Happened to the Caped Crusader?,3.97
book_covers/289.png,"Neil Gaiman, Mark Buckingham",2008,Odd and the Frost Giants,3.95
book_covers/290.png,"Neil Gaiman, Yoshitaka Amano",1999,The Sandman: The Dream Hunters,4.38
book_covers/291.png,"Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth",2006,"The Absolute Sandman, Volume One",4.65
book_covers/292.png,"Stephen Jones, H.P. Lovecraft, Kim Newman, Brian Mooney, Nicholas Royle, David Langford, Michael Marshall Smith, Brian Lumley, Neil Gaiman, Basil Copper, Jack Yeovil, Guy N. Smith, Adrian Cole, D.F. Lewis, Ramsey Campbell, David Sutton, Peter Tremayne",1994,The Shadows Over Innsmouth,4.43
book_covers/293.png,"George R.R. Martin, Gardner R. Dozois, Joe Abercrombie, Gillian Flynn, Matthew Hughes, Joe R. Lansdale, Michael Swanwick, David  Ball, Carrie Vaughn, Scott Lynch, Bradley Denton, Cherie Priest, Daniel Abraham, Paul Cornell, Steven Saylor, Garth Nix, Walter Jon Williams, Phyllis Eisenstein, Lisa Tuttle, Neil Gaiman, Connie Willis, Patrick Rothfuss",2014,Rogues,3.86
book_covers/294.png,J.D. Robb,1995,Naked in Death,4.13
book_covers/295.png,J.D. Robb,1995,Glory in Death,4.25
book_covers/296.png,"J.D. Robb, Susan Ericksen",1996,Rapture in Death,4.26
book_covers/297.png,J.D. Robb,2009,Promises in Death,4.4
book_covers/298.png,J.D. Robb,1997,Ceremony in Death,4.26
book_covers/299.png,J.D. Robb,2003,Portrait in Death,4.37
book_covers/300.png,J.D. Robb,1997,Vengeance in Death,4.34
book_covers/301.png,J.D. Robb,1998,Holiday in Death,4.31
book_covers/302.png,J.D. Robb,1999,Conspiracy in Death,4.35
book_covers/303.png,J.D. Robb,2006,Memory in Death ,4.31
book_covers/304.png,J.D. Robb,2005,"Survivor in Death (In Death, #20)",4.38
book_covers/305.png,"J.D. Robb, Nora Roberts",2000,Judgment in Death,4.33
book_covers/306.png,"J.D. Robb, Susan Ericksen",2000,Witness in Death,4.3
book_covers/307.png,"J.D. Robb, Susan Ericksen",1999,Loyalty in Death,4.3
book_covers/308.png,"J.D. Robb, Nora Roberts",2001,Betrayal in Death,4.31
book_covers/309.png,J.D. Robb,2010,Indulgence in Death,4.32
book_covers/310.png,J.D. Robb,2002,Purity in Death,4.33
book_covers/311.png,J.D. Robb,2001,Seduction in Death,4.3
book_covers/312.png,"J.D. Robb, Susan Ericksen",2006,"Born in Death (In Death, #23)",4.33
book_covers/313.png,J.D. Robb,2004,"Divided in Death (In Death, #18)",4.32
book_covers/314.png,J.D. Robb,2002,Reunion in Death,4.33
book_covers/315.png,J.D. Robb,2004,"Visions in Death (In Death, #19)",4.33
book_covers/316.png,J.D. Robb,2003,Imitation in Death,4.34
book_covers/317.png,J.D. Robb,2016,Brotherhood in Death,4.35
book_covers/318.png,J.D. Robb,2012,Delusion in Death,4.31
book_covers/319.png,J.D. Robb,2005,Origin in Death,4.34
book_covers/320.png,J.D. Robb,2013,Calculated in Death,4.23
book_covers/321.png,J.D. Robb,2012,Celebrity in Death,4.28
book_covers/322.png,J.D. Robb,2013,Thankless in Death ,4.28
book_covers/323.png,J.D. Robb,2014,Concealed in Death,4.25
book_covers/324.png,J.D. Robb,2014,Festive in Death,4.26
book_covers/325.png,J.D. Robb,2015,Obsession in Death,4.33
book_covers/326.png,J.D. Robb,2009,Kindred in Death ,4.31
book_covers/327.png,J.D. Robb,2008,Salvation in Death,4.26
book_covers/328.png,Meg Cabot,2000,The Princess Diaries,3.76
book_covers/329.png,Meg Cabot,2005,"Size 12 Is Not Fat (Heather Wells, #1)",3.75
book_covers/330.png,Meg Cabot,2006,Queen of Babble,3.71
book_covers/331.png,Meg Cabot,2002,All-American Girl,3.73
book_covers/332.png,Meg Cabot,2000,Shadowland,4.04
book_covers/333.png,Meg Cabot,2001,Princess in Love,3.76
book_covers/334.png,Meg Cabot,2005,Avalon High,3.8
book_covers/335.png,Meg Cabot,2005,Twilight,4.26
book_covers/336.png,Meg Cabot,2002,"Princess in Waiting (The Princess Diaries, #4)",3.66
book_covers/337.png,Meg Cabot,2008,Airhead ,3.77
book_covers/338.png,Meg Cabot,2001,Ninth Key,4.07
book_covers/339.png,Meg Cabot,2011,Abandon,3.71
